m1 (650, 602) R0
m2 (527, 342) R0
m3 (514, 673) R0
m4 (403, 841) R0
m13 (757, 0) R0
m14 (662, 685) R0
m15 (674, 701) R0
m16 (626, 344) R0
m17 (625, 516) R0
m18 (746, 515) R0
m19 (686, 736) R0
m20 (710, 675) R0
m21 (686, 847) R0
m22 (746, 675) R0
m35 (770, 601) R0
m36 (0, 342) R0
m37 (794, 503) R0
m38 (782, 306) R0
m39 (392, 673) R0
m40 (794, 589) R0
m41 (746, 454) R0
m42 (782, 442) R0
m43 (514, 759) R0
m44 (646, 0) R0
m50 (746, 761) R0
m51 (710, 847) R0
m52 (646, 86) R0
m53 (770, 761) R0
m54 (794, 675) R0
m55 (794, 761) R0
m56 (734, 847) R0
m57 (770, 847) R0
m58 (646, 172) R0
m59 (625, 258) R0
m60 (794, 847) R0
m61 (686, 344) R0
m62 (698, 354) R0
m63 (710, 344) R0
m64 (296, 0) R0
m65 (270, 675) R0
m10 (0, 0) R0
m11 (222, 0) R0
m6 (74, 0) R0
m7 (148, 0) R0
m9 (74, 171) R0
m12 (148, 171) R0
m5 (0, 171) R0
m8 (222, 171) R0
m45 (0, 761) R0
m49 (135, 761) R0
m48 (0, 847) R0
m46 (135, 847) R0
m47 (111, 761) R0
m27 (270, 415) R0
m28 (405, 415) R0
m23 (270, 501) R0
m26 (405, 501) R0
m31 (357, 587) R0
m32 (405, 587) R0
m30 (309, 587) R0
m33 (453, 587) R0
m29 (333, 587) R0
m34 (429, 587) R0
m24 (381, 342) R0
m25 (393, 342) R0
